label,year,block,treatment,rep,plot,plant ,cover
2018-2-M-A,2018,2,M,A,55,Euthamia_caroliniana,0
2018-2-M-B,2018,2,M,B,56,Euthamia_caroliniana,18.75
2018-2-M-C,2018,2,M,C,57,Euthamia_caroliniana,20
2018-2-MF-A,2018,2,MF,A,58,Euthamia_caroliniana,20
2018-2-MF-B,2018,2,MF,B,59,Euthamia_caroliniana,8.25
2018-2-MF-C,2018,2,MF,C,60,Euthamia_caroliniana,36.25
2018-4-M-A,2018,4,M,A,67,Euthamia_caroliniana,11.5
2018-4-M-B,2018,4,M,B,68,Euthamia_caroliniana,10
2018-4-M-C,2018,4,M,C,69,Euthamia_caroliniana,7.5
2018-4-MF-A,2018,4,MF,A,70,Euthamia_caroliniana,0
2018-4-MF-B,2018,4,MF,B,71,Euthamia_caroliniana,32.5
2018-4-MF-C,2018,4,MF,C,72,Euthamia_caroliniana,18.75
2018-6-M-A,2018,6,M,A,79,Euthamia_caroliniana,6.25
2018-6-M-B,2018,6,M,B,80,Euthamia_caroliniana,5
2018-6-M -C,2018,6,M,C,81,Euthamia_caroliniana,10.25
2018-6-MF-A,2018,6,MF,A,82,Euthamia_caroliniana,38.75
2018-6-MF-B,2018,6,MF,B,83,Euthamia_caroliniana,12.5
2018-6-MF-C,2018,6,MF,C,84,Euthamia_caroliniana,1.25
2018-8-M-A,2018,8,M,A,91,Euthamia_caroliniana,20
2018-8-M-B,2018,8,M,B,92,Euthamia_caroliniana,12.5
2018-8-M-C,2018,8,M,C,93,Euthamia_caroliniana,0.75
2018-8-MF-A,2018,8,MF,A,94,Euthamia_caroliniana,0
2018-8-MF-B,2018,8,MF,B,95,Euthamia_caroliniana,0
2018-8-MF-C,2018,8,MF,C,96,Euthamia_caroliniana,0
2015-2-M-A,2015,2,M,A,55,Euthamia_caroliniana,14.5
2015-2-M-B,2015,2,M,B,56,Euthamia_caroliniana,12
2015-2-M-C,2015,2,M,C,57,Euthamia_caroliniana,32.5
2015-2-MF-A,2015,2,MF,A,58,Euthamia_caroliniana,1
2015-2-MF-B,2015,2,MF,B,59,Euthamia_caroliniana,1
2015-2-MF-C,2015,2,MF,C,60,Euthamia_caroliniana,0
2015-4-M-A,2015,4,M,A,67,Euthamia_caroliniana,3
2015-4-M-B,2015,4,M,B,68,Euthamia_caroliniana,6.25
2015-4-M-C,2015,4,M,C,69,Euthamia_caroliniana,6.25
2015-4-MF-A,2015,4,MF,A,70,Euthamia_caroliniana,0
2015-4-MF-B,2015,4,MF,B,71,Euthamia_caroliniana,0.75
2015-4-MF-C,2015,4,MF,C,72,Euthamia_caroliniana,2.75
2015-6-M-A,2015,6,M,A,79,Euthamia_caroliniana,6.5
2015-6-M-B,2015,6,M,B,80,Euthamia_caroliniana,5
2015-6-M -C,2015,6,M,C,81,Euthamia_caroliniana,2
2015-6-MF-A,2015,6,MF,A,82,Euthamia_caroliniana,0
2015-6-MF-B,2015,6,MF,B,83,Euthamia_caroliniana,0
2015-6-MF-C,2015,6,MF,C,84,Euthamia_caroliniana,1
2015-8-M-A,2015,8,M,A,91,Euthamia_caroliniana,17.5
2015-8-M-B,2015,8,M,B,92,Euthamia_caroliniana,37.5
2015-8-M-C,2015,8,M,C,93,Euthamia_caroliniana,17.5
2015-8-MF-A,2015,8,MF,A,94,Euthamia_caroliniana,5
2015-8-MF-B,2015,8,MF,B,95,Euthamia_caroliniana,12.75
2015-8-MF-C,2015,8,MF,C,96,Euthamia_caroliniana,0
2018-2-M-A,2018,2,M,A,55,Andropogon_virginicus,13.75
2018-2-M-B,2018,2,M,B,56,Andropogon_virginicus,8
2018-2-M-C,2018,2,M,C,57,Andropogon_virginicus,41.25
2018-2-MF-A,2018,2,MF,A,58,Andropogon_virginicus,0
2018-2-MF-B,2018,2,MF,B,59,Andropogon_virginicus,0
2018-2-MF-C,2018,2,MF,C,60,Andropogon_virginicus,12.5
2018-4-M-A,2018,4,M,A,67,Andropogon_virginicus,27.5
2018-4-M-B,2018,4,M,B,68,Andropogon_virginicus,85
2018-4-M-C,2018,4,M,C,69,Andropogon_virginicus,47.5
2018-4-MF-A,2018,4,MF,A,70,Andropogon_virginicus,0
2018-4-MF-B,2018,4,MF,B,71,Andropogon_virginicus,0
2018-4-MF-C,2018,4,MF,C,72,Andropogon_virginicus,5.25
2018-6-M-A,2018,6,M,A,79,Andropogon_virginicus,28.75
2018-6-M-B,2018,6,M,B,80,Andropogon_virginicus,32.5
2018-6-M -C,2018,6,M,C,81,Andropogon_virginicus,6.25
2018-6-MF-A,2018,6,MF,A,82,Andropogon_virginicus,0
2018-6-MF-B,2018,6,MF,B,83,Andropogon_virginicus,0
2018-6-MF-C,2018,6,MF,C,84,Andropogon_virginicus,0
2018-8-M-A,2018,8,M,A,91,Andropogon_virginicus,21.25
2018-8-M-B,2018,8,M,B,92,Andropogon_virginicus,60
2018-8-M-C,2018,8,M,C,93,Andropogon_virginicus,82.5
2018-8-MF-A,2018,8,MF,A,94,Andropogon_virginicus,0
2018-8-MF-B,2018,8,MF,B,95,Andropogon_virginicus,0
2018-8-MF-C,2018,8,MF,C,96,Andropogon_virginicus,0
2015-2-M-A,2015,2,M,A,55,Andropogon_virginicus,18.25
2015-2-M-B,2015,2,M,B,56,Andropogon_virginicus,20
2015-2-M-C,2015,2,M,C,57,Andropogon_virginicus,82.5
2015-2-MF-A,2015,2,MF,A,58,Andropogon_virginicus,32.5
2015-2-MF-B,2015,2,MF,B,59,Andropogon_virginicus,0
2015-2-MF-C,2015,2,MF,C,60,Andropogon_virginicus,0
2015-4-M-A,2015,4,M,A,67,Andropogon_virginicus,27.5
2015-4-M-B,2015,4,M,B,68,Andropogon_virginicus,0
2015-4-M-C,2015,4,M,C,69,Andropogon_virginicus,3.5
2015-4-MF-A,2015,4,MF,A,70,Andropogon_virginicus,0
2015-4-MF-B,2015,4,MF,B,71,Andropogon_virginicus,0
2015-4-MF-C,2015,4,MF,C,72,Andropogon_virginicus,0
2015-6-M-A,2015,6,M,A,79,Andropogon_virginicus,4.75
2015-6-M-B,2015,6,M,B,80,Andropogon_virginicus,15
2015-6-M -C,2015,6,M,C,81,Andropogon_virginicus,5.25
2015-6-MF-A,2015,6,MF,A,82,Andropogon_virginicus,0
2015-6-MF-B,2015,6,MF,B,83,Andropogon_virginicus,0
2015-6-MF-C,2015,6,MF,C,84,Andropogon_virginicus,40
2015-8-M-A,2015,8,M,A,91,Andropogon_virginicus,15
2015-8-M-B,2015,8,M,B,92,Andropogon_virginicus,72.5
2015-8-M-C,2015,8,M,C,93,Andropogon_virginicus,27
2015-8-MF-A,2015,8,MF,A,94,Andropogon_virginicus,0
2015-8-MF-B,2015,8,MF,B,95,Andropogon_virginicus,37.5
2015-8-MF-C,2015,8,MF,C,96,Andropogon_virginicus,0
