sample,treatment,source,block
167-M-2,M,bulk,2
168-MF-2,MF,bulk,2
175-M-4,M,bulk,4
176-MF-4,MF,bulk,4
183-M-6,M,bulk,6
184-MF-6,MF,bulk,6
191-M-8,M,bulk,8
192-MF-8,MF,bulk,8
193-M-AV-2,M,grass,2
194-MF-AV-2,MF,grass,2
195-M-AV-4,M,grass,4
196-MF-AV-4,MF,grass,4
197-M-AV-6,M,grass,6
198-MF-AV-6,MF,grass,6
199-M-AV-8,M,grass,8
200-MF-AV-8,MF,grass,8
201-M-EC-2,M,forb,2
202-MF-EC-2,MF,forb,2
203-M-EC-4,M,forb,4
204-MF-EC-4,MF,forb,4
205-M-EC-6,M,forb,6
206-MF-EC-6,MF,forb,6
207-M-EC-8,M,forb,8
208-MF-EC-8,MF,forb,8
