species,type
Agalinus.purpurea,forb
Aster.novi.belgii,forb
Bidens.bipinnata,forb
Chamaecrista.fasciculata,forb
Clematis.dioscoreifolia,forb
Desmodium.sp,forb
Drosera.sp,forb
Eupatorium.capillifolium,forb
Eupatorium.pilosum,forb
Eupatorium.recurvans,forb
Eupatorium.rotundifolium,forb
Eupatorium.semiserratum,forb
Gnaphaleum.purpureum,forb
Gratiola.pilosa,forb
Hypericum.sp,forb
Lactuca.sp,forb
Lespedeza.capitata,forb
Lespedeza.hirta,forb
Lobelia.nuttallii,forb
Ludwigia.alternifolia,forb
Ludwigia.hirtella,forb
Lycopodium,forb
Osmunda.regalis,forb
Packera.tomentosa,forb
Polygala.cruciata,forb
Polygala.lutea,forb
Polygonum.sp,forb
Pteridium.aquilinum,forb
Pycnanthemum.flexuosum,forb
Rhexia.mariana,forb
Rhexia.virginica,forb
Rhus.radicans,forb
Rubus.hispidus,forb
Scutellaria.integrifolia,forb
Smilax.glauca,forb
Smilax.rotundifolia,forb
Solanum.carolinense,forb
Euthamia.caroliniana,forb
Solidago.pinetorum,forb
Solidago.puberula,forb
Solidago.rugosa,forb
Solidago.stricta,forb
Sphagnum.sp,forb
Viola.primulifolia,forb
Acer.rubrum,tree_shrub
Amelanchier.canadensis,tree_shrub
Clethra.alnifolia,tree_shrub
Crataegus.sp,tree_shrub
Cyrilla.racemiflora,tree_shrub
Ilex.glabra,tree_shrub
Itea.virginica,tree_shrub
Liquidambar.styraciflua,tree_shrub
Magnolia.virginica,tree_shrub
Nyssa.sylvatica,tree_shrub
Pinus.taeda,tree_shrub
Prunus.serotina,tree_shrub
Rhus.copallinum,tree_shrub
Rubus.betulifolius,tree_shrub
Sorbus.arbutifolia,tree_shrub
Symplocos.tinctoria,tree_shrub
Vaccinium.sp,tree_shrub
Viburnum.nudum,tree_shrub
Amphicarpum.purshii,grass
Andropogon.virginica,grass
Aristida.virgata,grass
Arundinaria.tecta,grass
Calamagrostis.coarctata,grass
Chasmanthium.laxum,grass
Dichanthelium.lucidum,grass
Dichanthelium.scabriusculum,grass
Dichanthelium.scoparium,grass
Juncus.canadensis,grass
Juncus.biflorus,grass
Juncus.effusus,grass
Carex.glaucescens,grass
Rhynchospora.chalarocephala,grass
Rhynchospora.inexpansa,grass
Saccharum.giganteum,grass
Scirpus.cyperinus,grass
Scleria.minor,grass
Xyris.sp,grass
