"","source","treatment","ditch","mean.soilC","se.soilC","mean.soilN","se.soilN","mean.soilCN","se.soilCN","mean.ammonium","se.ammonium","mean.nitrate","se.nitrate","mean.phosphate","se.phosphate"
"1","bulk_soil","M",0,4.4375,0.257176171783728,0.225,0.00957427107756338,19.7,0.65128078941933,0.26075,0.128763591515614,0.13575,0.0555823338240968,0.19175,0.081366839068505
"2","bulk_soil","M",1,3.6725,0.632117802839523,0.21,0.0324037034920393,17.345,0.38180492401225,0.29775,0.0495586773431253,0.019,0.019,0.026,0.0326164580132996
"3","bulk_soil","MF",0,5.11,0.444015765485867,0.2675,0.0213600093632938,19.09,0.540755644137596,0.30075,0.0913075161199778,0.2425,0.153757655635961,2.91375,0.829179752828058
"4","bulk_soil","MF",1,4.25,0.621664432525029,0.2425,0.0327554066783892,17.43,0.544288526426931,0.26475,0.0552560328531344,0,0,1.03625,0.220926977000697
"5","green_tea","M",0,4.4375,0.257176171783728,0.225,0.00957427107756338,19.7,0.65128078941933,0.26075,0.128763591515614,0.13575,0.0555823338240968,0.19175,0.081366839068505
"6","green_tea","M",1,3.6725,0.632117802839523,0.21,0.0324037034920393,17.345,0.38180492401225,0.29775,0.0495586773431253,0.019,0.019,0.026,0.0326164580132996
"7","green_tea","MF",0,5.17,0.622173609212091,0.27,0.03,19.1333333333333,0.762284577948273,0.331,0.121835955284144,0.323333333333333,0.18497237030913,2.94766666666667,1.17165585580598
"8","green_tea","MF",1,4.02,1.43,0.23,0.07,17.18,0.99,0.2105,0.0235,0,0,0.8395,0.3865
"9","rooibos_tea","M",0,4.33666666666667,0.334580998331412,0.22,0.0115470053837925,19.6833333333333,0.920748487795542,0.312666666666667,0.166641664791385,0.153666666666667,0.0744095274664325,0.213666666666667,0.110817166740738
"10","rooibos_tea","M",1,3.6725,0.632117802839523,0.21,0.0324037034920393,17.345,0.38180492401225,0.29775,0.0495586773431253,0.019,0.019,0.026,0.0326164580132996
"11","rooibos_tea","MF",0,5.11,0.444015765485867,0.2675,0.0213600093632938,19.09,0.540755644137596,0.30075,0.0913075161199778,0.2425,0.153757655635961,2.91375,0.829179752828058
"12","rooibos_tea","MF",1,4.80333333333333,0.400721571390632,0.27,0.0251661147842358,17.8433333333333,0.50081045427498,0.290666666666667,0.0690152962111379,0,0,1.23066666666667,0.14839736445698
