"","V1","V2","V3","V4"
"treatment","M","M","MF","MF"
"ditch","0","1","0","1"
"temp_degC_mean","13.325","12.475","13.425","12.400"
"moisture_mean","34.375","28.600","36.625","30.700"
"pH_mean","3.885","4.095","4.060","4.185"
"c_percent_mean","4.4375","3.6725","5.1100","4.2500"
"n_percent_mean","0.2250","0.2100","0.2675","0.2425"
"C_N_mean","19.700","17.345","19.090","17.430"
"n_nh4_ug_gsoil_mean","0.26075","0.29775","0.30075","0.26475"
"n_no3_ug_gsoil_mean","0.13575","0.01900","0.24250","0.00000"
"p_po4_hcl_ug_gsoil_mean","123.8550","123.2293","299.3720","273.5333"
"p_po4_w_ug_gsoil_mean","0.19175","0.02600","2.91375","1.03625"
"temp_degC_sd","1.1898879","1.0436315","0.5619905","1.3466007"
"moisture_sd","0.8057088","5.0332230","1.1383468","3.8514067"
"pH_sd","0.23979158","0.12662280","0.21648711","0.06137318"
"c_percent_sd","0.5143523","1.2642356","0.8880315","1.2433289"
"n_percent_sd","0.01914854","0.06480741","0.04272002","0.06551081"
"C_N_sd","1.3025616","0.7636098","1.0815113","1.0885771"
"n_nh4_ug_gsoil_sd","0.25752718","0.09911735","0.18261503","0.11051207"
"n_no3_ug_gsoil_sd","0.1111647","0.0380000","0.3075153","0.0000000"
"p_po4_hcl_ug_gsoil_sd","11.86173","31.45675","19.05445","91.76935"
"p_po4_w_ug_gsoil_sd","0.16273368","0.06523292","1.65835951","0.44185395"
