"","source","Class","Abundance"
"1","Green Tea","Acidobacteria_Gp1",0.0490368916555684
"2","Green Tea","Acidobacteria_Gp3",0.016903992323892
"3","Green Tea","Actinobacteria",0.0291732151137383
"4","Green Tea","Actinobacteria_unclassified",0.0160702700004991
"5","Green Tea","Alphaproteobacteria",0.207333046487857
"6","Green Tea","Bacteria_unclassified",0.0523434437251642
"7","Green Tea","Bacteroidetes_unclassified",0.0143202301120488
"8","Green Tea","Betaproteobacteria",0.17870317921549
"9","Green Tea","Chlamydiia",0.0130241914685098
"10","Green Tea","Cytophagia",0.0194351570433883
"11","Green Tea","Deltaproteobacteria",0.0961902018772705
"12","Green Tea","Gammaproteobacteria",0.162233198404308
"13","Green Tea","Gemmatimonadetes",0.01627494540772
"14","Green Tea","Holophagae",0.0421529872416959
"15","Green Tea","Opitutae",0.0206707734588407
"16","Green Tea","Planctomycetia",0.0130742834243269
"17","Green Tea","Proteobacteria_unclassified",0.0172601979483242
"18","Green Tea","Spartobacteria",0.0170371470344219
"19","Green Tea","Sphingobacteriia",0.0554710794411931
"20","Green Tea","Spirochaetia",0.0107318899357335
"21","Green Tea","Subdivision3",0.0466951835617397
"22","Rooibos Tea","Acidobacteria_Gp1",0.0848245868817514
"23","Rooibos Tea","Acidobacteria_Gp2",0.0180262625832677
"24","Rooibos Tea","Acidobacteria_Gp3",0.0162138464633817
"25","Rooibos Tea","Actinobacteria",0.0239614793761017
"26","Rooibos Tea","Alphaproteobacteria",0.240603980609625
"27","Rooibos Tea","Bacteria_unclassified",0.0664487417414649
"28","Rooibos Tea","Bacteroidetes_unclassified",0.0195612931688954
"29","Rooibos Tea","Betaproteobacteria",0.187957585126835
"30","Rooibos Tea","candidate_division_WPS-2_unclassified",0.0100766479305059
"31","Rooibos Tea","Chlamydiia",0.0100697317101997
"32","Rooibos Tea","Cytophagia",0.0224029394115079
"33","Rooibos Tea","Deltaproteobacteria",0.0442175092209826
"34","Rooibos Tea","Gammaproteobacteria",0.142512774089625
"35","Rooibos Tea","Ktedonobacteria",0.0110617942644252
"36","Rooibos Tea","Opitutae",0.0143892951358357
"37","Rooibos Tea","Planctomycetia",0.0131396052433235
"38","Rooibos Tea","Proteobacteria_unclassified",0.0260383058368068
"39","Rooibos Tea","Spartobacteria",0.0140961269760175
"40","Rooibos Tea","Sphingobacteriia",0.0525279609688826
"41","Rooibos Tea","Spirochaetia",0.0102115589173857
"42","Rooibos Tea","Subdivision3",0.0482077762113206
